# Lane-Emden n=1.5 solution (2D)
# Generated with solve_lane_emden.py
# Points: 883
# xi_1 = 3.000000000000000e+01
# dtheta_1 = -4.009858856718875e-01
# Format: xi  theta  dtheta/dxi
0.000000000000000e+00  1.000000000000000e+00  0.000000000000000e+00
3.000300030003000e-03  9.999977495518312e-01  -1.500147482994410e-03
6.000600060006000e-03  9.999909982301165e-01  -3.000279774003826e-03
9.000900090008999e-03  9.999797461032259e-01  -4.500381681324395e-03
1.200120012001200e-02  9.999639932851090e-01  -6.000438013831546e-03
1.500150015001500e-02  9.999437399352913e-01  -7.500433581236011e-03
1.800180018001800e-02  9.999189862588732e-01  -9.000353194415322e-03
2.100210021002100e-02  9.998897325065239e-01  -1.050018166564176e-02
2.400240024002400e-02  9.998559789744789e-01  -1.199990380892995e-02
2.700270027002700e-02  9.998177260045323e-01  -1.349950444025814e-02
3.000300030003000e-02  9.997749739840323e-01  -1.499896837790267e-02
3.300330033003300e-02  9.997277233458716e-01  -1.649828044266598e-02
3.600360036003600e-02  9.996759745684838e-01  -1.799742545828362e-02
3.900390039003900e-02  9.996197281758278e-01  -1.949638825152571e-02
4.200420042004200e-02  9.995589847373841e-01  -2.099515365263858e-02
4.500450045004500e-02  9.994937448681401e-01  -2.249370649554049e-02
4.800480048004800e-02  9.994240092285793e-01  -2.399203161811935e-02
5.100510051005100e-02  9.993497785246741e-01  -2.549011386262256e-02
5.400540054005400e-02  9.992710535078639e-01  -2.698793807576385e-02
5.700570057005700e-02  9.991878349750453e-01  -2.848548910909127e-02
6.000600060006001e-02  9.991001237685594e-01  -2.998275181932297e-02
6.300630063006300e-02  9.990079207761727e-01  -3.147971106855826e-02
6.600660066006600e-02  9.989112269310587e-01  -3.297635172454377e-02
6.900690069006900e-02  9.988100432117848e-01  -3.447265866102082e-02
7.200720072007200e-02  9.987043706422974e-01  -3.596861675805971e-02
7.500750075007501e-02  9.985942102918984e-01  -3.746421090226674e-02
7.800780078007800e-02  9.984795632752117e-01  -3.895942598689519e-02
8.100810081008100e-02  9.983604307521839e-01  -4.045424691242996e-02
8.400840084008400e-02  9.982368139280541e-01  -4.194865858673425e-02
8.700870087008700e-02  9.981087140533322e-01  -4.344264592534922e-02
9.000900090009001e-02  9.979761324237709e-01  -4.493619385173266e-02
9.300930093009301e-02  9.978390703803419e-01  -4.642928729754107e-02
9.600960096009600e-02  9.976975293092134e-01  -4.792191120294271e-02
9.900990099009900e-02  9.975515106417284e-01  -4.941405051693611e-02
1.020102010201020e-01  9.974010158543801e-01  -5.090569019764912e-02
1.050105010501050e-01  9.972460464687806e-01  -5.239681521259301e-02
1.080108010801080e-01  9.970866040516231e-01  -5.388741053884627e-02
1.110111011101110e-01  9.969226902146398e-01  -5.537746116320911e-02
1.140114011401140e-01  9.967543066146125e-01  -5.686695208288329e-02
1.170117011701170e-01  9.965814549533161e-01  -5.835586830551381e-02
1.200120012001200e-01  9.964041369774940e-01  -5.984419484951051e-02
1.230123012301230e-01  9.962223544788241e-01  -6.133191674432562e-02
1.260126012601260e-01  9.960361092938812e-01  -6.281901903070358e-02
1.290129012901290e-01  9.958454033041007e-01  -6.430548676095085e-02
1.320132013201320e-01  9.956502384357446e-01  -6.579130499922019e-02
1.350135013501350e-01  9.954506166598683e-01  -6.727645882180386e-02
1.380138013801380e-01  9.952465399922864e-01  -6.876093331742973e-02
1.410141014101410e-01  9.950380104935367e-01  -7.024471358755502e-02
1.440144014401440e-01  9.948250302688441e-01  -7.172778474665156e-02
1.470147014701470e-01  9.946076014680799e-01  -7.321013192247738e-02
1.500150015001500e-01  9.943857262857184e-01  -7.469174025632842e-02
1.530153015301530e-01  9.941594069607881e-01  -7.617259490326521e-02
1.560156015601560e-01  9.939286457768182e-01  -7.765268103230842e-02
1.590159015901590e-01  9.936934450617866e-01  -7.913198382664803e-02
1.620162016201620e-01  9.934538071881580e-01  -8.061048848445711e-02
1.650165016501650e-01  9.932097345727687e-01  -8.208818021873009e-02
1.680168016801680e-01  9.929612296767943e-01  -8.356504425759716e-02
1.710171017101710e-01  9.927082950057147e-01  -8.504106584466974e-02
1.740174017401740e-01  9.924509331092615e-01  -8.651623023928826e-02
1.770177017701770e-01  9.921891465813679e-01  -8.799052271677826e-02
1.800180018001800e-01  9.919229380601173e-01  -8.946392856871327e-02
1.830183018301830e-01  9.916523102276945e-01  -9.093643310318325e-02
1.860186018601860e-01  9.913772658103353e-01  -9.240802164506753e-02
1.890189018901890e-01  9.910978075782774e-01  -9.387867953631060e-02
1.920192019201920e-01  9.908139383457105e-01  -9.534839213619994e-02
1.950195019501950e-01  9.905256609707256e-01  -9.681714482164418e-02
1.980198019801980e-01  9.902329783552637e-01  -9.828492298745059e-02
2.010201020102010e-01  9.899358934450633e-01  -9.975171204660074e-02
2.040204020402040e-01  9.896344092296065e-01  -1.012174974305227e-01
2.070207020702070e-01  9.893285287420638e-01  -1.026822645893586e-01
2.100210021002100e-01  9.890182550592354e-01  -1.041459989922271e-01
2.130213021302130e-01  9.887035913014930e-01  -1.056086861274776e-01
2.160216021602160e-01  9.883845406327165e-01  -1.070703115029372e-01
2.190219021902190e-01  9.880611062602292e-01  -1.085308606461478e-01
2.220222022202220e-01  9.877332914347302e-01  -1.099903191045920e-01
2.250225022502250e-01  9.874010994502223e-01  -1.114486724459069e-01
2.280228022802280e-01  9.870645336439423e-01  -1.129059062581058e-01
2.310231023102310e-01  9.867235973964480e-01  -1.143620061505019e-01
2.340234023402340e-01  9.863782941314239e-01  -1.158169577534377e-01
2.370237023702370e-01  9.860286273155979e-01  -1.172707467184096e-01
2.400240024002400e-01  9.856746004587277e-01  -1.187233587185454e-01
2.430243024302430e-01  9.853162171135305e-01  -1.201747794488489e-01
2.460246024602460e-01  9.849534808756136e-01  -1.216249946264485e-01
2.490249024902490e-01  9.845863953834046e-01  -1.230739899908463e-01
2.520252025202520e-01  9.842149643180818e-01  -1.245217513041705e-01
2.550255025502550e-01  9.838391914035038e-01  -1.259682643514290e-01
2.580258025802580e-01  9.834590804061409e-01  -1.274135149407636e-01
2.610261026102610e-01  9.830746351350039e-01  -1.288574889037068e-01
2.640264026402640e-01  9.826858594415743e-01  -1.303001720954380e-01
2.670267026702670e-01  9.822927572197333e-01  -1.317415503950410e-01
