# Lane-Emden solution for 3D geometry, n=1.5
# xi_1 = 3.6537540101e+00
# dtheta_1 = -2.0331244769e-01
# n_points = 366
# Columns: xi  theta  dtheta/dxi
1.0000000000e-10  1.0000000000e+00  0.0000000000e+00
1.0010010110e-02  9.9998330007e-01  -3.3366197501e-03
2.0020020120e-02  9.9993320181e-01  -6.6729389246e-03
3.0030030130e-02  9.9984970972e-01  -1.0008656172e-02
4.0040040140e-02  9.9973283132e-01  -1.3343470932e-02
5.0050050150e-02  9.9958257717e-01  -1.6677082601e-02
6.0060060159e-02  9.9939896082e-01  -2.0009190932e-02
7.0070070169e-02  9.9918199879e-01  -2.3339495604e-02
8.0080080179e-02  9.9893171066e-01  -2.6667696844e-02
9.0090090189e-02  9.9864811899e-01  -2.9993495381e-02
1.0010010020e-01  9.9833124930e-01  -3.3316591596e-02
1.1011011021e-01  9.9798113017e-01  -3.6636687500e-02
1.2012012022e-01  9.9759779311e-01  -3.9953484685e-02
1.3013013023e-01  9.9718127260e-01  -4.3266685187e-02
1.4014014024e-01  9.9673160618e-01  -4.6575992626e-02
1.5015015025e-01  9.9624883430e-01  -4.9881110655e-02
1.6016016026e-01  9.9573300033e-01  -5.3181743056e-02
1.7017017027e-01  9.9518415066e-01  -5.6477595098e-02
1.8018018028e-01  9.9460233467e-01  -5.9768373335e-02
1.9019019029e-01  9.9398760458e-01  -6.3053784140e-02
2.0020020030e-01  9.9334001555e-01  -6.6333534701e-02
2.1021021031e-01  9.9265962571e-01  -6.9607333720e-02
2.2022022032e-01  9.9194649613e-01  -7.2874891365e-02
2.3023023033e-01  9.9120069076e-01  -7.6135918241e-02
2.4024024034e-01  9.9042227635e-01  -7.9390125449e-02
2.5025025035e-01  9.8961132257e-01  -8.2637225635e-02
2.6026026036e-01  9.8876790203e-01  -8.5876933035e-02
2.7027027037e-01  9.8789209023e-01  -8.9108963435e-02
2.8028028038e-01  9.8698396542e-01  -9.2333033305e-02
2.9029029039e-01  9.8604360866e-01  -9.5548859872e-02
3.0030030040e-01  9.8507110382e-01  -9.8756162049e-02
3.1031031041e-01  9.8406653764e-01  -1.0195466048e-01
3.2032032042e-01  9.8302999967e-01  -1.0514407754e-01
3.3033033043e-01  9.8196158228e-01  -1.0832413727e-01
3.4034034044e-01  9.8086138051e-01  -1.1149456452e-01
3.5035035045e-01  9.7972949208e-01  -1.1465508536e-01
3.6036036046e-01  9.7856601748e-01  -1.1780542780e-01
3.7037037047e-01  9.7737105991e-01  -1.2094532176e-01
3.8038038048e-01  9.7614472533e-01  -1.2407449909e-01
3.9039039049e-01  9.7488712243e-01  -1.2719269356e-01
4.0040040050e-01  9.7359836255e-01  -1.3029964089e-01
4.1041041051e-01  9.7227855955e-01  -1.3339507784e-01
4.2042042052e-01  9.7092782995e-01  -1.3647874268e-01
4.3043043053e-01  9.6954629282e-01  -1.3955037588e-01
4.4044044054e-01  9.6813406982e-01  -1.4260972008e-01
4.5045045055e-01  9.6669128523e-01  -1.4565652009e-01
4.6046046056e-01  9.6521806587e-01  -1.4869052294e-01
4.7047047057e-01  9.6371454117e-01  -1.5171147780e-01
4.8048048058e-01  9.6218084315e-01  -1.5471913607e-01
4.9049049059e-01  9.6061710611e-01  -1.5771325102e-01
5.0050050060e-01  9.5902346682e-01  -1.6069357746e-01
5.1051051061e-01  9.5740006451e-01  -1.6365987247e-01
5.2052052062e-01  9.5574704079e-01  -1.6661189560e-01
5.3053053063e-01  9.5406453967e-01  -1.6954940885e-01
5.4054054064e-01  9.5235270752e-01  -1.7247217664e-01
5.5055055065e-01  9.5061169309e-01  -1.7537996588e-01
5.6056056065e-01  9.4884164753e-01  -1.7827254588e-01
5.7057057066e-01  9.4704272434e-01  -1.8114968843e-01
5.8058058067e-01  9.4521507925e-01  -1.8401116770e-01
5.9059059068e-01  9.4335887008e-01  -1.8685675992e-01
6.0060060069e-01  9.4147425701e-01  -1.8968624375e-01
6.1061061070e-01  9.3956140235e-01  -1.9249940055e-01
6.2062062071e-01  9.3762047059e-01  -1.9529601438e-01
6.3063063072e-01  9.3565162832e-01  -1.9807587198e-01
6.4064064073e-01  9.3365504430e-01  -2.0083876279e-01
6.5065065074e-01  9.3163088941e-01  -2.0358447895e-01
6.6066066075e-01  9.2957933668e-01  -2.0631281526e-01
6.7067067076e-01  9.2750056121e-01  -2.0902356926e-01
6.8068068077e-01  9.2539473990e-01  -2.1171654102e-01
6.9069069078e-01  9.2326205179e-01  -2.1439153324e-01
7.0070070079e-01  9.2110267785e-01  -2.1704835150e-01
7.1071071080e-01  9.1891680092e-01  -2.1968680426e-01
7.2072072081e-01  9.1670460573e-01  -2.2230670289e-01
7.3073073082e-01  9.1446627889e-01  -2.2490786164e-01
7.4074074083e-01  9.1220200890e-01  -2.2749009767e-01
7.5075075084e-01  9.0991198613e-01  -2.3005323103e-01
7.6076076085e-01  9.0759640279e-01  -2.3259708466e-01
7.7077077086e-01  9.0525545265e-01  -2.3512148440e-01
7.8078078087e-01  9.0288933138e-01  -2.3762625893e-01
7.9079079088e-01  9.0049823629e-01  -2.4011123997e-01
8.0080080089e-01  8.9808236631e-01  -2.4257626227e-01
8.1081081090e-01  8.9564192199e-01  -2.4502116364e-01
8.2082082091e-01  8.9317710549e-01  -2.4744578494e-01
8.3083083092e-01  8.9068812058e-01  -2.4984997008e-01
8.4084084093e-01  8.8817517264e-01  -2.5223356601e-01
8.5085085094e-01  8.8563846861e-01  -2.5459642274e-01
8.6086086095e-01  8.8307821674e-01  -2.5693839335e-01
8.7087087096e-01  8.8049462690e-01  -2.5925933397e-01
8.8088088097e-01  8.7788791035e-01  -2.6155910388e-01
8.9089089098e-01  8.7525827966e-01  -2.6383756549e-01
9.0090090099e-01  8.7260594875e-01  -2.6609458438e-01
9.1091091100e-01  8.6993113287e-01  -2.6833002928e-01
9.2092092101e-01  8.6723404860e-01  -2.7054377207e-01
9.3093093102e-01  8.6451491385e-01  -2.7273568776e-01
9.4094094103e-01  8.6177394779e-01  -2.7490565456e-01
9.5095095104e-01  8.5901137064e-01  -2.7705355382e-01
9.6096096105e-01  8.5622740398e-01  -2.7917927010e-01
9.7097097106e-01  8.5342227047e-01  -2.8128269115e-01
9.8098098107e-01  8.5059619378e-01  -2.8336370792e-01
9.9099099108e-01  8.4774939868e-01  -2.8542221456e-01
1.0010010011e+00  8.4488211094e-01  -2.8745810844e-01
1.0110110111e+00  8.4199455739e-01  -2.8947129012e-01
1.0210210211e+00  8.3908696592e-01  -2.9146166336e-01
1.0310310311e+00  8.3615956536e-01  -2.9342913512e-01
1.0410410411e+00  8.3321258532e-01  -2.9537361561e-01
1.0510510511e+00  8.3024625650e-01  -2.9729501826e-01
1.0610610612e+00  8.2726081037e-01  -2.9919325973e-01
1.0710710712e+00  8.2425647915e-01  -3.0106825987e-01
1.0810810812e+00  8.2123349581e-01  -3.0291994175e-01
1.0910910912e+00  8.1819209408e-01  -3.0474823162e-01
1.1011011012e+00  8.1513250845e-01  -3.0655305894e-01
1.1111111112e+00  8.1205497414e-01  -3.0833435638e-01
1.1211211212e+00  8.0895972708e-01  -3.1009205979e-01
1.1311311312e+00  8.0584700366e-01  -3.1182610823e-01
1.1411411412e+00  8.0271704108e-01  -3.1353644403e-01
1.1511511512e+00  7.9957007702e-01  -3.1522301269e-01
1.1611611612e+00  7.9640634965e-01  -3.1688576286e-01
1.1711711713e+00  7.9322609757e-01  -3.1852464635e-01
1.1811811813e+00  7.9002955985e-01  -3.2013961810e-01
1.1911911913e+00  7.8681697603e-01  -3.2173063621e-01
1.2012012013e+00  7.8358858608e-01  -3.2329766193e-01
1.2112112113e+00  7.8034463044e-01  -3.2484065964e-01
1.2212212213e+00  7.7708534970e-01  -3.2635959684e-01
1.2312312313e+00  7.7381098494e-01  -3.2785444425e-01
1.2412412413e+00  7.7052177752e-01  -3.2932517572e-01
1.2512512513e+00  7.6721796894e-01  -3.3077176814e-01
1.2612612613e+00  7.6389980092e-01  -3.3219420143e-01
1.2712712714e+00  7.6056751529e-01  -3.3359245857e-01
1.2812812814e+00  7.5722135409e-01  -3.3496652560e-01
1.2912912914e+00  7.5386155950e-01  -3.3631639157e-01
1.3013013014e+00  7.5048837389e-01  -3.3764204862e-01
1.3113113114e+00  7.4710203959e-01  -3.3894349181e-01
1.3213213214e+00  7.4370279899e-01  -3.4022071934e-01
1.3313313314e+00  7.4029089459e-01  -3.4147373244e-01
1.3413413414e+00  7.3686656880e-01  -3.4270253526e-01
1.3513513514e+00  7.3343006389e-01  -3.4390713485e-01
1.3613613614e+00  7.2998162204e-01  -3.4508754115e-01
1.3713713715e+00  7.2652148530e-01  -3.4624376699e-01
1.3813813815e+00  7.2304989561e-01  -3.4737582810e-01
1.3913913915e+00  7.1956709479e-01  -3.4848374310e-01
1.4014014015e+00  7.1607332451e-01  -3.4956753349e-01
1.4114114115e+00  7.1256882602e-01  -3.5062722353e-01
1.4214214215e+00  7.0905384056e-01  -3.5166284052e-01
1.4314314315e+00  7.0552860902e-01  -3.5267441453e-01
1.4414414415e+00  7.0199337190e-01  -3.5366197833e-01
1.4514514515e+00  6.9844836933e-01  -3.5462556738e-01
1.4614614615e+00  6.9489384106e-01  -3.5556521986e-01
1.4714714716e+00  6.9133002642e-01  -3.5648097663e-01
1.4814814816e+00  6.8775716439e-01  -3.5737288125e-01
1.4914914916e+00  6.8417549355e-01  -3.5824098001e-01
1.5015015016e+00  6.8058525196e-01  -3.5908532176e-01
1.5115115116e+00  6.7698667712e-01  -3.5990595802e-01
1.5215215216e+00  6.7338000618e-01  -3.6070294311e-01
1.5315315316e+00  6.6976547564e-01  -3.6147633381e-01
1.5415415416e+00  6.6614332137e-01  -3.6222618939e-01
1.5515515516e+00  6.6251377862e-01  -3.6295257157e-01
1.5615615616e+00  6.5887708197e-01  -3.6365554453e-01
1.5715715717e+00  6.5523346538e-01  -3.6433517495e-01
1.5815815817e+00  6.5158316214e-01  -3.6499153194e-01
1.5915915917e+00  6.4792640495e-01  -3.6562468710e-01
1.6016016017e+00  6.4426342564e-01  -3.6623471430e-01
1.6116116117e+00  6.4059445534e-01  -3.6682168992e-01
1.6216216217e+00  6.3691972452e-01  -3.6738569283e-01
1.6316316317e+00  6.3323946275e-01  -3.6792680409e-01
1.6416416417e+00  6.2955389876e-01  -3.6844510696e-01
1.6516516517e+00  6.2586326038e-01  -3.6894068691e-01
1.6616616617e+00  6.2216777458e-01  -3.6941363160e-01
1.6716716718e+00  6.1846766744e-01  -3.6986403089e-01
1.6816816818e+00  6.1476316420e-01  -3.7029197687e-01
1.6916916918e+00  6.1105448920e-01  -3.7069756377e-01
1.7017017018e+00  6.0734186573e-01  -3.7108088787e-01
