# time kinetic thermal potential total
0 0 0.05 -0.661259 -0.611259
1.00048 0.304886 1.29334 -2.21163 -0.613403
2.00136 0.155873 0.56922 -1.33672 -0.611627
3.00112 0.115888 0.655749 -1.38331 -0.61167
4.00084 0.102014 0.660951 -1.37455 -0.611582
5.00027 0.0950921 0.66925 -1.37579 -0.61145
6.00075 0.0909178 0.673733 -1.37605 -0.611397
7.00015 0.0882018 0.674223 -1.37388 -0.611453
8.00085 0.0861951 0.672203 -1.36984 -0.611441
9.00097 0.0847493 0.678873 -1.37504 -0.611415
10.0007 0.083573 0.677641 -1.37264 -0.611425
