# Energy log for SPH simulation
# Units: Code
# Time unit: code_time
# Energy unit: code_energy
# Columns: time  kinetic  thermal  potential  total
#
0.0000000000000000e+00  7.1881858592211302e+03  5.2021739244562283e+01  -7.2783835176240136e+03  -3.8175919158321449e+01
2.3871025264238083e-02  7.2312973564492850e+03  5.2343204760597601e+01  -7.3220559276560871e+03  -3.8415366446204644e+01
4.4033921730037222e-02  7.2683045506137587e+03  5.2667900582416209e+01  -7.3600300859377139e+03  -3.9057634741539005e+01
6.1341256340807546e-02  7.3007813142430650e+03  5.2998227228855214e+01  -7.3934551878147158e+03  -3.9675646342795517e+01
8.3235389679477217e-02  7.3427102098464038e+03  5.3507814045074809e+01  -7.4368868123787079e+03  -4.0668788487228994e+01
1.0159076598354386e-01  7.3786966778747119e+03  5.4040195009900955e+01  -7.4743330340186776e+03  -4.1596161134064459e+01
1.2237219268238569e-01  7.4203657905451491e+03  5.4799078893446122e+01  -7.5179293795331378e+03  -4.2764510094542857e+01
1.4013447115954791e-01  7.4566029886650567e+03  5.5621041331788305e+01  -7.5562542973720820e+03  -4.4030267375236690e+01
1.6315700537214919e-01  7.5041346415035587e+03  5.6997748163149595e+01  -7.6074591531182814e+03  -4.6326763451573242e+01
1.8017132063019781e-01  7.5393063787528827e+03  5.8296340160030610e+01  -7.6464499253931917e+03  -4.8847206480278146e+01
2.0173785997667740e-01  7.5825911676360747e+03  6.0363453845167328e+01  -7.6972960225117067e+03  -5.4341401030465022e+01
2.2115013247548099e-01  7.6184725156687546e+03  6.2710505418335558e+01  -7.7443688276126531e+03  -6.3185806525562839e+01
2.4118705538243160e-01  7.6583552932089879e+03  6.5615044743257727e+01  -7.7940867859456393e+03  -7.0116447993394104e+01
2.6133038534564401e-01  7.6997712821784189e+03  6.8938599431704034e+01  -7.8451990990483391e+03  -7.6489217438215746e+01
2.8170249718792573e-01  7.7479866789468215e+03  7.2439804222535585e+01  -7.8980801062217743e+03  -7.7653623052417061e+01
3.0178828494782961e-01  7.7957254953100210e+03  7.5817610714872444e+01  -7.9516384724723312e+03  -8.0095366447437300e+01
3.2132478774658729e-01  7.8434396382858376e+03  7.8891025089051908e+01  -8.0052080275257531e+03  -8.2877364150863286e+01
3.4071018008530163e-01  7.8933214421002831e+03  8.1701411904419160e+01  -8.0598672938562504e+03  -8.4844439851548486e+01
3.6031745768194356e-01  7.9464628312027362e+03  8.4298453869070926e+01  -8.1167587909670237e+03  -8.5997505895216818e+01
3.8034551383478887e-01  8.0033269883687735e+03  8.6730014463016659e+01  -8.1766462508807981e+03  -8.6589248049008347e+01
4.0091026774149868e-01  8.0643622384611390e+03  8.9021432529139759e+01  -8.2401351053265189e+03  -8.6751434336239981e+01
4.2164606994283516e-01  8.1285166343828805e+03  9.1120404112923268e+01  -8.3063454754469913e+03  -8.6708436951186741e+01
4.4034041503060650e-01  8.1885182750155627e+03  9.2890999025865895e+01  -8.3680474666283990e+03  -8.6638192586970035e+01
