# Lane-Emden solution for 2D geometry, n=1.5
# xi_1 = 2.6477815002e+00
# dtheta_1 = -4.0153529219e-01
# n_points = 265
# Columns: xi  theta  dtheta/dxi
1.0000000000e-10  1.0000000000e+00  0.0000000000e+00
1.0010010110e-02  9.9997495016e-01  -5.0049109579e-03
2.0020020120e-02  9.9989980346e-01  -1.0009257570e-02
3.0030030130e-02  9.9977456838e-01  -1.5012476418e-02
4.0040040140e-02  9.9959925902e-01  -2.0014002433e-02
5.0050050150e-02  9.9937389517e-01  -2.5013274026e-02
6.0060060159e-02  9.9909850218e-01  -3.0009726400e-02
7.0070070169e-02  9.9877311108e-01  -3.5002797464e-02
8.0080080179e-02  9.9839775861e-01  -3.9991927240e-02
9.0090090189e-02  9.9797248698e-01  -4.4976553805e-02
1.0010010020e-01  9.9749734395e-01  -4.9956115325e-02
1.1011011021e-01  9.9697238315e-01  -5.4930054593e-02
1.2012012022e-01  9.9639766371e-01  -5.9897815172e-02
1.3013013023e-01  9.9577325027e-01  -6.4858840484e-02
1.4014014024e-01  9.9509921290e-01  -6.9812573822e-02
1.5015015025e-01  9.9437562719e-01  -7.4758460423e-02
1.6016016026e-01  9.9360257465e-01  -7.9695949902e-02
1.7017017027e-01  9.9278014223e-01  -8.4624493403e-02
1.8018018028e-01  9.9190842228e-01  -8.9543543213e-02
1.9019019029e-01  9.9098751250e-01  -9.4452552773e-02
2.0020020030e-01  9.9001751598e-01  -9.9350976669e-02
2.1021021031e-01  9.8899854113e-01  -1.0423827104e-01
2.2022022032e-01  9.8793070198e-01  -1.0911389645e-01
2.3023023033e-01  9.8681411841e-01  -1.1397731685e-01
2.4024024034e-01  9.8564891549e-01  -1.1882799852e-01
2.5025025035e-01  9.8443522348e-01  -1.2366541002e-01
2.6026026036e-01  9.8317317786e-01  -1.2848902226e-01
2.7027027037e-01  9.8186291928e-01  -1.3329830846e-01
2.8028028038e-01  9.8050459357e-01  -1.3809274417e-01
2.9029029039e-01  9.7909835178e-01  -1.4287180724e-01
3.0030030040e-01  9.7764434998e-01  -1.4763497934e-01
3.1031031041e-01  9.7614274999e-01  -1.5238174742e-01
3.2032032042e-01  9.7459371906e-01  -1.5711160137e-01
3.3033033043e-01  9.7299742933e-01  -1.6182403457e-01
3.4034034044e-01  9.7135405782e-01  -1.6651854392e-01
3.5035035045e-01  9.6966378645e-01  -1.7119462982e-01
3.6036036046e-01  9.6792680200e-01  -1.7585179621e-01
3.7037037047e-01  9.6614329613e-01  -1.8048955050e-01
3.8038038048e-01  9.6431346541e-01  -1.8510740364e-01
3.9039039049e-01  9.6243751127e-01  -1.8970487008e-01
4.0040040050e-01  9.6051563995e-01  -1.9428146852e-01
